sha, contributor, date, message
f6bd6b1360, Seth Hillbrand, Wed Jun 13 15:11:21 2018, "3d: Replace glFinish with glFlush"
4dd2de9057, Seth Hillbrand, Wed Jun 13 06:11:21 2018, "pcbnew: Prevent mouse capture after actions"
05adc450b9, Carsten Schoenert, Wed Jun 13 15:58:32 2018, "de: update po file after upstream changes"
34c6393b71, John Beard, Wed Jun 13 13:27:06 2018, "Pcbnew Python docs: remove obsolete Doxygen parameters"
41d6fc648d, John Beard, Wed Jun 13 13:13:37 2018, "Pcbnew Python: use python super for inherited classes"
1f04b5fc7d, John Beard, Wed Jun 13 13:05:12 2018, "Pcbnew Python: Add PadArray module documentation"
468d26d9d1, John Beard, Wed Jun 13 11:55:19 2018, "Pcbnew Python: Add plugin documentation"
939450856a, John Beard, Fri Jun 1 13:08:26 2018, "Pcbnew FP wizard: add rounded and chamfered box aids"
5001b056ac, John Beard, Fri Jun 1 14:11:03 2018, "Pcbnew FP wizard: add docstring for parameters"
137799165d, John Beard, Fri Jun 1 13:19:31 2018, "Pcbnew FP wizard: minor style fixes"
03b2ad87c9, Liu Guang, Wed Jun 13 11:47:07 2018, "Modify some low-quality translations"
4f269507c8, Liu Guang, Tue Jun 12 13:12:13 2018, "Modify some low-quality translations"
9302bbce59, jean-pierre charras, Wed Jun 13 09:46:22 2018, "Pcbnew: fix a duplicate hotkey (E for edit properties)"
ed48b31348, Marco Ciampa, Wed Jun 13 08:36:29 2018, "Updated Italian translation"
2b3d7d4250, jean-pierre charras, Tue Jun 5 16:13:34 2018, "French translation update"
5411b951ae, jean-pierre charras, Tue Jun 12 20:15:04 2018, "Minor compil warning (signed/unsigned compare) fix"
bc7bd107d9, Seth Hillbrand, Wed Jun 13 02:05:25 2018, "Fix a number of untranslated strings."
fb1aa56b77, Seth Hillbrand, Wed Jun 13 01:48:59 2018, "modedit: Don't activate measure tool without a footprint"
04706d9d02, Seth Hillbrand, Mon May 14 05:22:11 2018, "pcbnew: Add placement hotkeys"
47106b6861, Seth Hillbrand, Mon May 14 04:31:21 2018, "pcbnew: Adding meander hotkeys to assignment"
aae30cc7c1, Seth Hillbrand, Sun May 13 22:11:11 2018, "pcbnew: Hotkey minor fixes"
70506cc31d, Seth Hillbrand, Sun May 13 20:01:41 2018, "pcbnew: Standardize HK display in Routing"
a700d622f6, Marco Ciampa, Tue Jun 12 22:33:40 2018, "Updated Polish translation thanks to Krzysztof Kawa"
e95d06e811, Seth Hillbrand, Mon Jun 11 08:15:10 2018, "OCC: Fix issues for OpenCascade 7.3"
cee313da8c, jean-pierre charras, Tue Jun 12 16:50:18 2018, "Pcbnew: legacy canvas: make trace len display working while creating the trace. Previously, the full trace length was always displayed as 0 during track creation in the info canvas."
5de246c5be, Seth Hillbrand, Tue Jun 12 17:52:57 2018, "Add handlers for scrollbar events"
72b49acccf, Maciej Suminski, Tue Jun 12 17:37:02 2018, "Commit supplementing 9605dd8e"
e624bbae8a, jean-pierre charras, Tue Jun 12 17:21:03 2018, "fix test_002_board_class.py according to changes (fixes) in bounding box track calculations"
ade3c2b129, Wayne Stambaugh, Tue Jun 12 16:24:59 2018, "Minor Python scripting documentation fixes."
660aed71b4, Jeff Young, Tue Jun 12 14:38:31 2018, "Make sure initially loaded footprint is rendered."
16411c8c1e, John Beard, Tue Jun 12 11:49:08 2018, "Fix -Wparentheses in track_cleaner.cpp"
9605dd8e1d, Maciej Suminski, Tue Jun 12 10:36:41 2018, "Fix selection clearance for via and tracks"
5d276a43f6, jean-pierre charras, Tue Jun 12 10:05:12 2018, "PCB_EDIT_FRAME::EraseRedundantTrack() Fix incorrect detection of the new trace boundaries in a specific case."
4186626069, Seth Hillbrand, Tue Jun 12 05:47:48 2018, "Fix overzealous checking in 2798035f8"
2798035f85, Seth Hillbrand, Tue Jun 12 03:00:57 2018, "eeschema: Catch parameter errors in SPICE sim"
61c3bc4af4, Seth Hillbrand, Tue Jun 12 01:41:24 2018, "pcbnew: Don't stage undo commits on new items"
896ad3774d, John Beard, Mon Jun 11 13:28:02 2018, ""Select Connection" menus enablement"
0555bbc656, John Beard, Mon Jun 11 19:13:15 2018, "Pass PCB display settings to PNS router tool"
8a2639325d, Jeff Young, Mon Jun 11 15:42:43 2018, "Update footprint value when doing a Save As to library."
5c65881fde, Jeff Young, Mon Jun 11 13:10:19 2018, "Allow Global Fields Editor to Cancel with no changes."
da61285a29, Ben Gamari, Sat May 19 17:47:39 2018, "field editor: Save checkbox states"
de7791cc8b, Jeff Young, Mon Jun 11 12:37:05 2018, "Add context menu to footprint viewer for zoom & grid."
813c1a2ba2, Maciej Suminski, Mon Jun 11 12:25:20 2018, "Dealing with inconsistent wxGLCanvas::IsDisplaySupported()"
3f783d2318, Ben Gamari, Sat May 19 17:25:28 2018, "field editor: Find components when reference field is clicked"
850aac5ec5, Maciej Suminski, Mon Jun 11 10:16:24 2018, "Set OpenGL_GL_PREFERENCE for CMake 3.11+"
c54935e557, DESKTOP-3NKT2CE\Home, Mon Jun 11 06:55:51 2018, "Modify some low-quality translations"
9edfd25b95, Jeff Young, Mon Jun 11 00:20:06 2018, "Select best-matching component when filtering."
b078e01264, starfort-jp, Sat Jun 9 16:55:28 2018, "Update Japanese Translation"
0e3be5776c, Damien Espitallier, Sat Jun 9 10:20:41 2018, "Add library name pseudo-hash in fp_list_table GenerateTimestamp output"
a5695549c8, Liu Guang, Sat Jun 9 09:56:54 2018, "Modify some wrong translations of Eeschema"
db6cf7adb7, Liu Guang, Thu Jun 7 05:28:37 2018, "Modify some low-quality translations of Eeschema"
8444b1b617, Simon Richter, Sat Jun 9 02:11:51 2018, "Add missing header"
b9874da3a6, Jeff Young, Sat Jun 9 01:50:06 2018, "Remove background fp loading from Choose Symbol dlg."
5098c5796a, Jeff Young, Fri Jun 8 12:52:35 2018, "Prevent another case of "fall behind" dialogs."
c5c52c3dfd, Seth Hillbrand, Fri Jun 8 08:15:10 2018, "pcbnew Check for valid nodes before drawing ratsnest"
fb9ccd855d, Seth Hillbrand, Sat Apr 7 20:15:10 2018, "eeschema: Check for dangling ends when switching sheets"
72238e260a, Seth Hillbrand, Fri Jun 8 06:35:10 2018, "Fix overload compile warning"
7558c71aca, Seth Hillbrand, Fri Jun 8 06:34:17 2018, "When clearing annotations, keep units"
68f6e3ad44, Seth Hillbrand, Thu Jun 7 07:51:01 2018, "pcbnew: Differential pairs obey netclass settings"
6d77e594b5, jean-pierre charras, Thu Jun 7 10:03:26 2018, "Python binding: fix pcbnew.Refresh() to make a better re-initialization. Minor fixes in comments."
a5b92a1fe4, Seth Hillbrand, Sun Jun 3 06:01:01 2018, "Constrain dimension tool while creating"
40d2535625, Seth Hillbrand, Thu Jun 7 00:40:11 2018, "Recalculate ratsnest when moving footprint in legacy"
abd8927d71, Seth Hillbrand, Mon Jun 4 04:10:01 2018, "Dimension Edit window passes default action"
a5c213c23d, Seth Hillbrand, Wed Jun 6 06:22:13 2018, "Set footprint splitter window canvas to transient"
b62398b197, Simon Richter, Sat Jun 2 09:19:05 2018, "Update English “Translation”"
64e98c8e54, Maciej Suminski, Wed Jun 6 16:59:59 2018, "Fixed Symbol Library editor crash on start"
228881f552, Maciej Suminski, Wed Jun 6 10:12:04 2018, "Eagle SCH import: validate package (footprint) names"
51c7381fd5, Maciej Suminski, Wed Jun 6 08:47:53 2018, "Fix Choose Symbol dialog freezes in eeschema"
9552e02727, Jeff Young, Wed Jun 6 02:59:56 2018, "Handle description when reading netlist."
271826f8f3, Jeff Young, Wed Jun 6 01:00:39 2018, "Fix crash when deleting from library with nothing selected."
5263558eaa, Damien Espitallier, Tue Jun 5 23:33:49 2018, "Fix crash when delete button of footprint filter is clicked and no footprint is selected"
a300006956, Jeff Young, Wed Jun 6 00:31:42 2018, "Fix dialog layout of Add 3D Shape."
e0c881b639, Jeff Young, Tue Jun 5 22:01:14 2018, "Output descriptions to components in generic netlist."
aaf47bbe71, Jeff Young, Tue Jun 5 21:59:58 2018, "Replace "unsaved changes" dialog to Global Fields Editor."
7d62f14dd0, Seth Hillbrand, Mon Jun 4 01:44:13 2018, "Set ViewBBox to viewitem size"
3f005ab54c, Simon Richter, Thu Feb 22 22:14:17 2018, "German: „Quotes“ and a few Unicode characters"
9e4511eb11, Seth Hillbrand, Sat May 26 15:11:13 2018, "Update netclasses when loading footprint"
b37630b6e6, Liu Guang, Tue Jun 5 18:40:46 2018, "Modify Misspellings “比例因子”"
187bcbae99, Liu Guang, Tue Jun 5 18:14:29 2018, "Update simplified Chinese translation"
9354372a0c, jean-pierre charras, Tue Jun 5 20:02:38 2018, "Fix bug: Pcbnew crash on invoking footprint browser when already open (happens only in some distros)"
6ad8551aa7, Simon Richter, Tue Jun 5 16:03:52 2018, "Sort all translation files according to the new order"
ae729cd565, Simon Richter, Fri May 25 15:27:45 2018, "Sort file list for xgettext"
9ab216cb09, Simon Richter, Fri May 25 15:27:28 2018, "Generate file list for xgettext in a pipeline"
fd5af143d2, Simon Richter, Fri May 25 15:26:36 2018, "Use LC_ALL instead of LANG to force locale to C"
da392728d4, jean-pierre charras, Tue Jun 5 16:07:47 2018, "spice_value.cpp: replace std::invalid_argument by KI_PARAM_ERROR (replacement forgotten in commit a288d6199) see commit a288d6199 for the reasons of this replacement."
1564afc98a, Baranovskiy Konstantin, Tue Jun 5 14:46:27 2018, "Russian translation update."
a288d6199e, jean-pierre charras, Tue Jun 5 13:26:37 2018, "Add KI_PARAM_ERROR, similar to std::invalid_argument but using wxString instead of std::string to throw errors."
58814e838d, John Beard, Tue Jun 5 09:38:49 2018, "Common: Fix -Wcatch-value warnings (catching exceptions by value)"
640ac2318e, Marco Ciampa, Tue Jun 5 09:30:47 2018, "Small fix in Italian translation"
f95b77b61a, Seth Hillbrand, Mon May 28 05:15:03 2018, "Fix overflow on 32-bit machine"
ee34aab07a, Seth Hillbrand, Mon Jun 4 22:44:43 2018, "Async hardening"
39ac5e0af8, Seth Hillbrand, Mon Jun 4 07:55:03 2018, "Pcbnew: List nets fix calculation speed"
7343e78347, Wayne Stambaugh, Mon Jun 4 19:48:17 2018, "Fix some Coverity uninitialized field warnings."
5dbfa6a9c1, Seth Hillbrand, Sat May 12 19:07:04 2018, "Correct node/pad count in pcbnew"
ff1802d7a1, Wayne Stambaugh, Mon Jun 4 18:30:00 2018, "Fix Coverity "Big parameter passed by value" warnings."
63a952d239, Seth Hillbrand, Mon May 21 02:06:01 2018, "Adjust connectivity to use RTree"
6f65f835f4, Wayne Stambaugh, Mon Jun 4 16:06:33 2018, "Fix assert in CvPcb when opening footprint equate file dialog."
e4a6f2e523, Maciej Suminski, Mon Jun 4 11:49:53 2018, "Switch canvas to Cairo if OpenGL is not supported on the first run"
6bd708621b, Maciej Suminski, Mon Jun 4 11:38:44 2018, "Early check of supported OpenGL version"
0b8cf93888, jean-pierre charras, Mon Jun 4 10:44:25 2018, "Pcbnew, On line DRC in legacy canvas: Fix broken Drc test during track and zone creation or edition."
27c9c6ceed, Maciej Suminski, Mon Jun 4 10:47:44 2018, "Enable the accelerated canvas on the first gerbview run if requested"
8910894fab, Maciej Suminski, Mon Jun 4 10:41:13 2018, "Enable the accelerated canvas on the first pcbnew run if requested"
d3c41dd247, jean-pierre charras, Sun Jun 3 19:55:03 2018, "Remove dead code."
28ff35c630, jean-pierre charras, Sun Jun 3 11:10:05 2018, "Update French translation"
35783884be, Liu Guang, Sun Jun 3 10:29:10 2018, "Update simplified Chinese translation"
0a91f0bc9c, Seth Hillbrand, Sun Jun 3 00:51:03 2018, "Add 45º constraints to lines when moving with CTRL"
975e777149, Seth Hillbrand, Sat Jun 2 23:51:25 2018, "Fix threaded race condition in footprints"
6e57266136, jean-pierre charras, Sat Jun 2 18:14:34 2018, "Pcbnew: optimize BOARD::SortedNetnamesList() for a must faster calculation time."
d4393b2813, Jean-Samuel Reynaud, Mon May 28 09:15:35 2018, "Fix incorrect Eeschema BOM plugins install path on Linux."
8f984c2899, jean-pierre charras, Fri Jun 1 17:00:17 2018, "OpenGL, DrawGrid(): use grid and axis alpha color value setting, instead of the fixed 1.0 In Cairo mode, this function uses already the alpha color value setting. Now for low alpha values (usually they are low, as said in many GAL comments), Cairo mode and OpenGL mode should have a similar look."
3cf9009f73, Seth Hillbrand, Fri Jun 1 17:57:52 2018, "Delete GL context in GL destructor not program"
333e0a163d, Marco Ciampa, Fri Jun 1 13:53:43 2018, "Little fix in Italian translation"
8dc6203b0e, Marco Ciampa, Fri Jun 1 13:49:21 2018, "Little fix in Italian translation"
bfa89039c4, jean-pierre charras, Fri Jun 1 09:27:23 2018, "Gerbview, GAL mode: fix "Zoom to fit" area size calculation when nothing is loaded. Also ensure the worksheet is displayed after clearing the gerber layers."
99cb51499f, Marco Ciampa, Fri Jun 1 10:14:59 2018, "Updated Italian translation"
9a228d8ec9, jean-pierre charras, Fri Jun 1 09:11:43 2018, "Gerbview: GAL mode: shows the page worksheet, similar to legacy mode."
fc71fc6474, jean-pierre charras, Thu May 31 11:22:13 2018, "Gerbview: Fit to page: use the page size when nothing is loaded."
7c49bcd3a6, Maciej Suminski, Thu May 31 09:31:03 2018, "Clear selection before deleting DRC markers"
f51f30fb1e, Maciej Suminski, Thu May 31 09:08:58 2018, "eeschema: Disabled an assert checking if project path is empty"
c5cde53dff, Maciej Suminski, Thu May 31 08:59:14 2018, "Symbol Editor: fixed a crash when modifying a symbol"
3ce8a4856a, Seth Hillbrand, Wed May 30 22:51:20 2018, "Remove ToLayer_ID calls from color checks"
d90d4ff682, Jeff Young, Wed May 30 21:45:02 2018, "Fix bugs in Export to SVG."
fe1f837d0c, Seth Hillbrand, Wed May 30 20:21:39 2018, "Limit zoom out"
eeb273faa0, Seth Hillbrand, Wed May 30 18:12:50 2018, "Partial revert of 3804f6 to correct assert change"
36504b3071, Baranovskiy Konstantin, Wed May 30 15:37:27 2018, "SymLibEditor: synced state of search tree tool button with its panel"
d03e92a3a2, Jeff Young, Tue May 29 23:46:13 2018, "Field Name Template (aka Default Fields) fixes."
8c63dac0c3, Maciej Suminski, Wed May 30 09:51:47 2018, "Component Chooser: do not create FP list when the FP preview is disabled"
8570cad612, Baranovskiy Konstantin, Wed May 30 07:11:35 2018, "Russian translation update."
52fceb3243, jean-pierre charras, Tue May 29 19:57:18 2018, "Eeschema: sheet filename renaming: fix a old issue that can set incorrect filenames in sheets inside a complex hierarchy."
ce9cc4ea38, jean-pierre charras, Tue May 29 18:51:44 2018, "plot board: fix a stupid bug created by commit dfa91752"
c5f56ef573, Maciej Suminski, Tue May 29 14:20:14 2018, "Eagle PCB import: made warning strings translatable"
d2436e7478, Maciej Suminski, Tue May 29 14:19:26 2018, "Corrected "Add footprint library" dialog file filters"
dfa9175209, jean-pierre charras, Tue May 29 13:45:45 2018, "Fix incorrect mask size for rectangular and trapezoid pads."
71e64de3a4, jean-pierre charras, Tue May 29 12:30:52 2018, "gerber plot: fix incorrect string attribute for BGA pads on copper layer"
94f161b8c2, Maciej Suminski, Tue May 29 09:28:28 2018, "Eagle SCH import: validate imported symbol names"
e789523632, Maciej Suminski, Tue May 29 09:27:11 2018, "Eagle SCH import: do not crash if nothing was imported"
41ced70711, fandres, Tue May 29 04:09:21 2018, "es.po: fix typos"
57d0fa8865, Carsten Schoenert, Mon May 28 21:20:52 2018, "de: update po file after upstream changes"
a12b9db584, Jeff Young, Mon May 28 21:37:24 2018, "Map Eagle values to fab layers."
f914558e7b, Jeff Young, Mon May 28 21:36:39 2018, "Remove overly-strict assert."
a8db21319f, Maciej Suminski, Mon May 28 16:41:12 2018, "Spice Simulator: set correct scale for constant plots"
ace732abcd, Marco Ciampa, Mon May 28 15:50:53 2018, "Updated Italian translation"
2cb65f9c19, Marco Ciampa, Mon May 28 11:24:20 2018, "Make the Simulator error strings translatable"
5f0a26f4f2, Simon Richter, Sun May 27 18:09:49 2018, "Ouch."
339be89534, Liu Guang, Sun May 27 09:37:32 2018, "Update simplifed Chinese translation"
281d93e552, Liu Guang, Sat May 26 14:46:31 2018, "Update simplifed Chinese translation"
789eb691f8, Liu Guang, Sat May 26 06:29:20 2018, "更新简体中文翻译"
55bddc543b, starfort-jp, Sat May 26 14:11:29 2018, "Update Japanese Translation"
da66005254, jean-pierre charras, Sat May 26 17:34:00 2018, "Pcbnew, plot dialog: avoid slightly change in hpgl pen diameter (due to inch/mm conversion error) when the hpgl format is not selected"
7db88126c5, jean-pierre charras, Sat May 26 09:37:21 2018, "hpgl plot parameters: use double instead of int to store the pen diameter to avoid truncation."
da061718e5, Seth Hillbrand, Fri May 25 21:20:11 2018, "Remove constraint on circle"
c614f73c50, jean-pierre charras, Fri May 25 20:50:00 2018, "HPGL plotter fix incorrect scaling factor A 0.4% scale error in hpgl plots was previously existing since a long time."
250d958ebb, jean-pierre charras, Fri May 25 18:33:00 2018, "Plot dialog: fix broken dialog management."
d64710c4ba, Baranovskiy Konstantin, Fri May 25 17:53:08 2018, "Russian translation update."
cd5f727880, Jeff Young, Fri May 25 13:59:57 2018, "Fix off-by-1 errors in zoom menus & use zoom steps in GAL canvas."
b89f6d4af3, Jeff Young, Fri May 25 13:58:43 2018, "Decrease allowed coverage ration when zones are involved."
e8e3a8bf64, Marco Ciampa, Fri May 25 11:41:33 2018, "Fixed string duplication in pt translation"
ad4435d976, Marco Ciampa, Fri May 25 11:38:51 2018, "General update of strings after source strings addition"
645cfeaebe, Marco Ciampa, Fri May 25 11:37:00 2018, "Updated Italian translation"
61597db12d, Maciej Suminski, Fri May 25 11:24:25 2018, "Make the Simulator dialog strings translatable"
32f599654f, Maciej Suminski, Fri May 25 08:46:14 2018, "Fixed normalizeAbsolutePaths() condition"
145835661b, Maciej Suminski, Wed May 23 11:49:32 2018, "Replaced footprint library wizard with a common file browser"
adc61024d3, Maciej Suminski, Wed May 23 11:46:25 2018, "DIALOG_FILE_DIR_PICKER: dialog to select both files and directories"
81af2db614, Jeff Young, Thu May 24 20:03:24 2018, "Even out the Gerbveiw zoom steps and increase the max."
cb925a6646, Jeff Young, Thu May 24 19:24:08 2018, "Output defined default fields to netlists & BOMs."
cdfba5e978, Hildo Guillardi Júnior, Thu May 24 14:19:58 2018, "Updated words and grammar"
6090f9001e, jean-pierre charras, Thu May 24 09:43:04 2018, "netinfo.i: fix incorrect position of a declaration, that was not taken in account."
8f5cb32598, Jeff Young, Wed May 23 22:34:56 2018, "Don't write empty fields from Global Edit Fields dialog."
cf2a07559d, Seth Hillbrand, Wed May 23 17:52:48 2018, "Safely release thread memory"
190d4d6f55, Maciej Suminski, Wed May 23 17:44:45 2018, "Eagle PCB import: disable copper pour for imported *Restrict layer polygons"
208fe216ef, Marco Ciampa, Wed May 23 12:30:47 2018, "Fixed uppercase in Italian translation"
32a15d9626, DESKTOP-3NKT2CE\Home, Wed May 23 10:24:22 2018, "zh_CN: update po file after upstream changes"
3893c43eb0, jean-pierre charras, Wed May 23 11:31:13 2018, "Fix compil issues."
ca548809da, jean-pierre charras, Wed May 23 09:17:35 2018, "Fix a qa test issue related to pad hit test."
8506cdf3ae, Seth Hillbrand, Wed May 23 01:18:31 2018, "Avoid numerical dereference of selections"
8d52dc9451, Seth Hillbrand, Wed May 23 01:20:54 2018, "Avoid re-checking items already selected"
b625d29151, Seth Hillbrand, Wed May 23 00:37:24 2018, "Only search pads when the position hits module"
9cb577b3db, Nick Østergaard, Tue May 22 23:08:28 2018, "Update English translation"
8c5037a48b, Seth Hillbrand, Tue May 22 00:28:26 2018, "Optionally sort reporter messages"
b8f960ea09, Seth Hillbrand, Tue May 22 22:27:51 2018, "Correct message panel sizing"
f8a9f42ad0, Nick Østergaard, Tue May 22 22:38:08 2018, "Update english to master"
c4b447f3f9, Jeff Young, Tue May 22 20:23:50 2018, "Initialize field visibility checkboxes in Fields Editor."
6f249e5eb6, jean-pierre charras, Tue May 22 14:36:20 2018, "Add missing icons in lock/unlock context submenu"
e3c4a96f5c, Jeff Young, Tue May 22 13:50:57 2018, "Default field bug fixes."
ac2f75ce37, Carsten Schoenert, Mon May 21 19:31:04 2018, "de: update po file after upstream changes"
2d812c2827, Seth Hillbrand, Mon May 21 19:44:32 2018, "Remove FreeRouting icon and menu option"
5d8dd38664, Seth Hillbrand, Mon May 21 18:35:00 2018, "Standardize graphical edit window"
6a2dc8d4eb, Jeff Young, Mon May 21 17:24:24 2018, "Roll back last 2 commits meant for the other resolver only."
cdde4c4b40, Jeff Young, Mon May 21 14:48:48 2018, "Fix a bug in how we check for differential pair tuning."
0fd0e84162, Jeff Young, Mon May 21 13:37:50 2018, "Keep OK/Cancel buttons at bottom of Track/Via Properties."
2b22cbe94d, Jeff Young, Mon May 21 13:23:28 2018, "Release mouse before closing HTML_MESSAGE_BOX."
10ec39a107, Jeff Young, Mon May 21 12:09:49 2018, "Move 3D file error messages to tracePathsAndFiles key."
73845d6f58, Marco Ciampa, Mon May 21 12:16:20 2018, "Updated Italian translation"
c49a4398a1, Wayne Stambaugh, Mon May 21 03:24:18 2018, "Set KiCad version to 5.0.0-rc2-unknown for next development cycle."
b4f9b5359d, Wayne Stambaugh, Mon May 21 03:20:28 2018, "Set KiCad version to 5.0.0-rc2."
0c2f9b1827, Seth Hillbrand, Fri Apr 27 18:09:05 2018, "Keep circles controlled by radius"
3a8a718e43, Jeff Young, Mon May 21 01:18:06 2018, "A pesky bug, this one is.  (Said in best Yoda impression.)"
5678a166ee, Wayne Stambaugh, Sat May 19 18:10:08 2018, "Fix template path bugs."
8badfea17a, Jeff Young, Mon May 21 00:46:24 2018, "Fix the build messages fall-behind problem..."
e27d31d51d, Jeff Young, Sun May 20 21:58:52 2018, "Fix minor dialog layout issue."
c48e5b6423, Jeff Young, Sun May 20 20:31:23 2018, "Remove unhelpful warning message."
052ca08546, Jeff Young, Sun May 20 16:57:52 2018, "Switch footprint-locked-can't-remove msg to warning."
62a5ee8c21, Jeff Young, Sun May 20 16:54:41 2018, "Layout Track / Via Properties dialog."
63c9e11aae, Jeff Young, Sun May 20 15:08:06 2018, "Bug fixes in Length Tuning UI."
26b8efcda5, Marco Ciampa, Sat May 19 23:56:33 2018, "Updated Italian translation"
8f6ae70400, Maciej Suminski, Thu May 17 17:10:26 2018, "Deterministic algorithm for picking field values in multiunit components"
dcf60f8e6f, Maciej Suminski, Fri May 18 18:14:54 2018, "Eagle PCB import: handle keepout zones"
2bd0a027a2, Jeff Young, Sat May 19 02:50:52 2018, "Improved error messages for diff-pair routing."
6b1df2e992, Seth Hillbrand, Sat May 19 02:08:52 2018, "Remove extraneous PROFILE"
0c1172b17d, Seth Hillbrand, Wed May 16 00:50:59 2018, "Garbage collection optimization"
b2d0631370, Seth Hillbrand, Fri May 11 03:01:38 2018, "Split anchor vectors by layer"
019ada0a92, Seth Hillbrand, Thu May 10 22:11:53 2018, "Move some connectivity search to std::algs"
0bcfb2c7df, Jeff Young, Sat May 19 01:56:38 2018, "Don't write library name to footprint files."
c5696738d2, Jeff Young, Sat May 19 00:41:47 2018, "Use diff-pair-via clearance when checking against vias."
d62b4f36a6, Seth Hillbrand, Fri Feb 23 18:22:56 2018, "Save hotkeys to combined app-based file"
d22fceca7c, Seth Hillbrand, Fri Feb 23 17:44:29 2018, "Revert hotkey save format"
bbc01e0c2b, jean-pierre charras, Fri May 18 20:42:24 2018, "Add a tooltip in DIALOG_POSITION_RELATIVE."
149f4f68c9, Jeff Young, Fri May 18 19:17:23 2018, "Leave decorations on LAYER_GP_OVERLAY."
45dad4ded5, jean-pierre charras, Fri May 18 13:24:02 2018, "DIALOG_POSITION_RELATIVE: make dialog more understandable."
5010a461e1, Jeff Young, Fri May 18 13:19:54 2018, "Make polar coordinates consistent."
2363f36033, jean-pierre charras, Fri May 18 10:16:30 2018, "Fix compil issue in dialog_select_net_from_list.cpp with wxWidgets 3.1"
ec98bbba11, jean-pierre charras, Fri May 18 10:13:46 2018, "Fix issue: HPGL (plot mode sketch) : polygons are not closed."
689db4f038, jean-pierre charras, Fri May 18 08:38:03 2018, "Pcbnew, D_PAD::buildCustomPadPolygon(): use PM_STRICTLY_SIMPLE instead of PM_FAST in polygon calculation."
d09445cf34, Seth Hillbrand, Fri May 18 01:47:51 2018, "Fixing signed/unsigned warning"
85921535b3, Seth Hillbrand, Fri May 18 01:42:27 2018, "Cleaning SelectNet window display"
5e30e4d475, Jeff Young, Fri May 18 01:43:03 2018, "Don't allow replace on Power Symbol value fields."
8cb68a3585, Jeff Young, Fri May 18 00:57:51 2018, "Wire up return in combobox to accept dialog."
df495b1d65, Jeff Young, Fri May 18 00:46:10 2018, "Fix typo in loading of preferences Reference ID Notation menu."
1ebee39973, jean-pierre charras, Thu May 17 17:32:14 2018, "Gerber X1 format: add more structured comments in file."
d1cab6ec62, jean-pierre charras, Thu May 17 08:54:25 2018, "Gerber X1 plot files: prepare adding more structured comments (aperture and object attributes)"
dfcdfe91fa, Maciej Suminski, Thu May 17 16:04:52 2018, "Fixed the TOOL_STATE::idle field setting condition"
7c52af2d50, jean-pierre charras, Thu May 17 10:24:09 2018, "Gerbview: cosmetic enhancement: add icons in Clarify menu."
93e75af388, jean-pierre charras, Thu May 17 07:49:38 2018, "Rename plot_auxiliary_data.h file to gbr_metadata.h, according to the class names defined by this file"
144549ebca, jean-pierre charras, Wed May 16 18:26:43 2018, "Pcbnew, plot: Fix: masks derived from custom pad shape have incorrect margin."
afc28ef5db, jean-pierre charras, Wed May 16 18:14:06 2018, "fix a minor compil warning"
828faecce9, jean-pierre charras, Wed May 16 17:30:37 2018, "Modify the priority of OCC/OCE include paths."
904eb82368, jean-pierre charras, Wed May 16 09:20:04 2018, "Fix a DRC crash on some installs."
584409b2ef, Seth Hillbrand, Tue May 15 15:40:25 2018, "Make OpenCascade more secondary"
538ab0eb3f, Maciej Suminski, Mon May 14 17:38:24 2018, "kicad_netlist_reader.py: Handle gracefully the case when a library symbol is not available for a component"
161b4a56fc, Maciej Suminski, Mon May 14 13:28:12 2018, "kicad2step: Handle escaped quotes in sexpr parser"
509793a5b4, jean-pierre charras, Mon May 14 17:49:30 2018, "Symbol editor: Inversion sign ("~") incorectly ùmanaged in graphic texts. It was always replaced with space in a graphic text, but it should happens only in non quoted texts Now graphic texts containing ' ' or '~' or '"' are always quoted (work fine with 4.0 version)"
eb7eb9c422, Marco Ciampa, Mon May 14 13:04:59 2018, "Fixed small error on Russian translation"
fcd0270eea, Marco Ciampa, Mon May 14 13:02:35 2018, "Updated Italian translation"
f29779556b, Baranovskiy Konstantin, Mon May 14 09:33:50 2018, "Russian translation update."
23a9fcd91d, Maciej Suminski, Mon May 14 10:59:41 2018, "Fixed a typo in the STEP generator message"
86d6ed5abf, jean-pierre charras, Mon May 14 09:33:45 2018, "Demo update to used V5 libs"
d8687e4eaf, jean-pierre charras, Sun May 13 18:44:26 2018, "Gerbview: minor code cleanup"
8da242c593, jean-pierre charras, Sun May 13 18:22:09 2018, "Gerbview: accept any structured comment as X2 attribute."
1a6e8d4713, Jeff Young, Sun May 13 22:47:47 2018, "Fix typo."
2832f997c5, jean-pierre charras, Sun May 13 21:50:59 2018, "PcbNew; fix crash on copy/paste Due to a bug introduced by commit ba1e0efda that tried to fix an other bug."
a9dc417319, Jeff Young, Sun May 13 16:22:45 2018, "Fix bug in pruning of selection."
c30dd24cc1, Jeff Young, Sun May 13 13:06:46 2018, "Fixup sorting for expanded component groups."
b94e0a2031, jean-pierre charras, Sun May 13 09:19:44 2018, "Fix forgotten change (m_Zone to m_SegZoneDeprecated)"
54766bac40, jean-pierre charras, Sun May 13 08:56:17 2018, "fix minor compil warning (signed/unsigned compar)"
e57cd291ff, jean-pierre charras, Sat May 12 21:37:43 2018, "class BOARD: rename m_Zone to m_SegZoneDeprecated to avoid mistakes in code."
